T |MaxValue |ErrMax|MaxFreq |ErrFreq|Mean |ErrMean|Variance |ErrVar|NoiseVar
300.00|3424425.01364|0.00020|30.72790|0.00020|30.72798|631.28366|0.00005|5035632.29593|86489824.96706
7.00|78743.38704|0.02040|30.58990|0.02040|30.60781|18.38913|0.00428|18163.21864|771028.09640
9.00|100690.40886|0.00580|30.60040|0.00580|30.60715|20.24381|0.00442|21923.94412|940943.39773
12.00|142931.98454|0.01730|30.58000|0.01730|30.60631|20.72971|0.00401|22307.82516|940374.72069
15.00|238278.64826|0.00500|30.58130|0.00500|30.61060|36.07960|0.00368|66592.76878|2725833.27241
17.00|449068.38746|0.00240|30.60480|0.00240|30.62166|54.36149|0.00329|151528.52423|5893076.58628
19.00|435601.77798|0.00560|30.62210|0.00560|30.63979|76.55172|0.00261|295265.43811|10764035.08511
20.00|129400.60261|0.00530|30.64620|0.00530|30.65342|23.11919|0.00152|23403.52777|766443.20263
20.00|416566.18656|0.00260|30.65050|0.00260|30.65878|54.16381|0.00186|131003.98829|4601952.13656
22.00|239886.44437|0.00230|30.68150|0.00230|30.68207|35.88027|0.00108|50535.50729|1544023.09022
22.00|697776.99428|0.00490|30.68220|0.00490|30.68414|142.59872|0.00100|753631.54819|22988850.66608
23.00|462963.28829|0.00190|30.69780|0.00190|30.69910|42.91175|0.00058|59026.30539|1584941.48425
25.00|512535.19190|0.00100|30.70720|0.00100|30.71000|95.30893|0.00025|241187.49554|5139048.47556
28.00|662584.49943|0.00100|30.71350|0.00100|30.71662|70.60606|0.00025|109780.19034|2748892.45887
33.00|806994.31048|0.00080|30.71900|0.00080|30.72056|81.12900|0.00024|146321.60585|3433105.26971
40.00|710488.94652|0.00090|30.72140|0.00090|30.72330|117.17089|0.00022|311908.16155|6851338.07002
50.00|611525.82014|0.00070|30.72330|0.00070|30.72454|75.08600|0.00020|113702.88082|2626265.81184
62.00|1036144.88360|0.00060|30.72440|0.00060|30.72529|136.51771|0.00021|380401.47474|8736820.71743
70.00|515571.57897|0.00070|30.72450|0.00070|30.72530|111.92224|0.00016|246507.87003|5138373.62208
80.00|877409.00380|0.00000|30.72800|0.00000|30.72911|470.34653|0.00018|909410.03684|4725433.16615
81.00|465799.68954|0.00070|30.72550|0.00070|30.72554|116.72158|0.00020|255231.42574|5878639.66447
100.00|730445.00377|0.00060|30.72640|0.00060|30.72683|147.71982|0.00020|300562.37672|4883560.58292
120.00|681213.81598|0.00050|30.72660|0.00050|30.72653|180.52840|0.00017|582357.08525|12976243.60743
150.00|796978.70532|0.00050|30.72770|0.00050|30.72701|201.01199|0.00016|699363.06013|15266312.28303
197.00|4671985.17225|0.00020|30.72860|0.00020|30.72837|604.63224|0.00010|5714397.03439|109322852.36304
