Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,728	246590,779	4,0	8,0	60,0	20,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	442598,511	4,0	8,0	84,0	44,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	548497,131	4,0	8,0	118,0	78,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	581749,509	4,0	8,0	165,0	125,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	592933,252	4,0	8,0	230,0	190,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	572269,458	4,0	8,0	323,0	283,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	542642,532	4,0	8,0	452,0	412,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	515259,367	4,0	8,0	632,0	592,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	469637,717	4,0	8,0	885,0	845,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	399441,784	4,0	8,0	1240,0	1200,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	340741,038	4,0	8,0	1736,0	1696,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	255103,137	4,0	8,0	2430,0	2390,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	164686,574	4,0	8,0	3402,0	3362,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	86203,278	4,0	8,0	4762,0	4722,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	42650,470	4,0	8,0	6667,0	6627,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	11924,262	4,0	8,0	9334,0	9294,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	7059,298	4,0	8,0	13068,0	13028,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	9700,481	4,0	8,0	18295,0	18255,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	4250,441	4,0	8,0	25613,0	25573,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	10906,850	4,0	8,0	35858,0	35818,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
