Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,728	278305,551	4,0	8,0	60,0	20,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	448572,609	4,0	8,0	84,0	44,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	553439,134	4,0	8,0	118,0	78,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	584806,282	4,0	8,0	165,0	125,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	595763,977	4,0	8,0	230,0	190,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	575627,144	4,0	8,0	323,0	283,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	545656,692	4,0	8,0	452,0	412,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	518104,073	4,0	8,0	632,0	592,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	472488,147	4,0	8,0	885,0	845,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	402360,626	4,0	8,0	1240,0	1200,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	342599,209	4,0	8,0	1736,0	1696,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	257496,288	4,0	8,0	2430,0	2390,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	169632,412	4,0	8,0	3402,0	3362,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	97323,191	4,0	8,0	4762,0	4722,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	54784,993	4,0	8,0	6667,0	6627,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	38118,724	4,0	8,0	9334,0	9294,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	35375,453	4,0	8,0	13068,0	13028,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	29947,000	4,0	8,0	18295,0	18255,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	29791,186	4,0	8,0	25613,0	25573,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
30,728	29732,637	4,0	8,0	35858,0	35818,0	1000,0	2000,0	1,0	0,0	10,0	150,0	11,0
