Frequency	Real part	Imaginary part
30,426200	124,992663	21951,753113
30,426400	138,600579	21979,262739
30,426600	157,692910	22004,531819
30,426800	181,519264	22025,847325
30,427000	208,830469	22041,795708
30,427200	237,993134	22051,403340
30,427400	267,142713	22054,235316
30,427600	294,360456	22050,442404
30,427800	317,857051	22040,750902
30,428000	336,144817	22026,395806
30,428200	348,181244	22009,003383
30,428400	353,469335	21990,434336
30,428600	352,104346	21972,602890
30,428800	344,761837	21957,289643
30,429000	332,627750	21945,966865
30,429200	317,277089	21939,653829
30,429400	300,512988	21938,816876
30,429600	284,182026	21943,324551
30,429800	269,984155	21952,462650
30,430000	259,296230	21965,008057
30,430200	253,026923	21979,354316
30,430400	251,517664	21993,676678
30,430600	254,499771	22006,120319
30,430800	261,112265	22014,993115
30,431000	269,978867	22018,943786
30,431200	279,336709	22017,107724
30,431400	287,204165	22009,205990
30,431600	291,571312	21995,587650
30,431800	290,594294	21977,211285
30,432000	282,774544	21955,567525
30,432200	267,105395	21932,550322
30,432400	243,171914	21910,289688
30,432600	211,194517	21890,962357
30,432800	172,012540	21876,598857
30,433000	127,009874	21868,905686
30,433200	77,990466	21869,119571
30,433400	27,016285	21877,907459
30,433600	-23,776109	21895,321192
30,433800	-72,362435	21920,810341
30,434000	-117,002978	21953,290929
30,434200	-156,384070	21991,262326
30,434400	-189,715808	22032,960084
30,434600	-216,777681	22076,529206
30,434800	-237,908982	22120,200721
30,435000	-253,946365	22162,454539
30,435200	-266,116001	22202,153341
30,435400	-275,891964	22238,635502
30,435600	-284,835427	22271,759382
30,435800	-294,430644	22301,896272
30,436000	-305,933477	22329,874361
30,436200	-320,246440	22356,880713
30,436400	-337,831164	22384,332051
30,436600	-358,665133	22413,727723
30,436800	-382,245013	22446,499337
30,437000	-407,634307	22483,871255
30,437200	-433,548959	22526,744391
30,437400	-458,471209	22575,612892
30,437600	-480,779887	22630,519649
30,437800	-498,884406	22691,052517
30,438000	-511,350242	22756,379156
30,438200	-517,005242	22825,314900
30,438400	-515,018778	22896,415305
30,438600	-504,948880	22968,083401
30,438800	-486,756006	23038,681066
30,439000	-460,785354	23106,634559
30,439200	-427,722452	23170,525790
30,439400	-388,528828	23229,163162
30,439600	-344,365704	23281,628552
30,439800	-296,513797	23327,299767
30,440000	-246,296633	23365,850362
30,440200	-195,013230	23397,230749
30,440400	-143,884108	23421,635843
30,440600	-94,012343	23439,465039
30,440800	-46,359299	23451,280016
30,441000	-1,732927	23457,764947
30,441200	39,214722	23459,692215
30,441400	75,984649	23457,895067
30,441600	108,226487	23453,246907
30,441800	135,735492	23446,645517
30,442000	158,452719	23438,999499
30,442200	176,468680	23431,213827
30,442400	190,029273	23424,171648
30,442600	199,541516	23418,710263
30,442800	205,575771	23415,590527
30,443000	208,860860	23415,460390
30,443200	210,268849	23418,814930
30,443400	210,787227	23425,956526
30,443600	211,477669	23436,959788
30,443800	213,422328	23451,646182
30,444000	217,660471	23469,572967
30,444200	225,119926	23490,040056
30,444400	236,549081	23512,116816
30,444600	252,455864	23534,688818
30,444800	273,060036	23556,522387
30,445000	298,264365	23576,342653
30,445200	327,648683	23592,919075
30,445400	360,488777	23605,151182
30,445600	395,799650	23612,146862
30,445800	432,400199	23613,285850
30,446000	468,994076	23608,262301
30,446200	504,259735	23597,102207
30,446400	536,941548	23580,153833
30,446600	565,933647	23558,052028
30,446800	590,348783	23531,659901
30,447000	609,565978	23501,993650
30,447200	623,252902	23470,138038
30,447400	631,361550	23437,160936
30,447600	634,098553	23404,035343
30,447800	631,874109	23371,576380
30,448000	625,235735	23340,399027
30,448200	614,794502	23310,900014
30,448400	601,152092	23283,264517
30,448600	584,836685	23257,495586
30,448800	566,254468	23233,461641
30,449000	545,661581	23210,955468
30,449200	523,158760	23189,756936
30,449400	498,708174	23169,691406
30,449600	472,169239	23150,676517
30,449800	443,347887	23132,751603
30,450000	412,052133	23116,086283
30,450200	378,146010	23100,967488
30,450400	341,594190	23087,766998
30,450600	302,490764	23076,894174
30,450800	261,067683	23068,740613
30,451000	217,680994	23063,624727
30,451200	172,775956	23061,744488
30,451400	126,834994	23063,145846
30,451600	80,314993	23067,712612
30,451800	33,582213	23075,181018
30,452000	-13,146009	23085,179170
30,452200	-59,843853	23097,288335
30,452400	-106,696286	23111,119971
30,452600	-154,089724	23126,399915
30,452800	-202,571904	23143,049522
30,453000	-252,782306	23161,253022
30,453200	-305,358107	23181,501029
30,453400	-360,823935	23204,602009
30,453600	-419,476267	23231,656413
30,453800	-481,274891	23263,991860
30,454000	-545,754172	23303,061835
30,454200	-611,965828	23350,314465
30,454400	-678,462654	23407,041567
30,454600	-743,329202	23474,221008
30,454800	-804,261240	23552,367077
30,455000	-858,691156	23641,403859
30,455200	-903,951923	23740,575464
30,455400	-937,468109	23848,404411
30,455600	-956,959231	23962,705732
30,455800	-960,638774	24080,659764
30,456000	-947,391710	24198,941520
30,456200	-916,914365	24313,899495
30,456400	-869,803048	24421,772160
30,456600	-807,581606	24518,926754
30,456800	-732,662883	24602,102547
30,457000	-648,244329	24668,639826
30,457200	-558,143376	24716,676530
30,457400	-466,583197	24745,296638
30,457600	-377,943573	24754,618005
30,457800	-296,494535	24745,811894
30,458000	-226,131961	24721,051725
30,458200	-170,134214	24683,393977
30,458400	-130,957327	24636,599358
30,458600	-110,083258	24584,906798
30,458800	-107,931636	24532,776249
30,459000	-123,840615	24484,618369
30,459200	-156,117277	24444,529787
30,459400	-202,152992	24416,051868
30,459600	-258,594589	24401,968710
30,459800	-321,558509	24404,156852
30,460000	-386,872519	24423,495098
30,460200	-450,328266	24459,838327
30,460400	-507,927898	24512,054580
30,460600	-556,109195	24578,120425
30,460800	-591,935926	24655,265902
30,461000	-613,243196	24740,157532
30,461200	-618,731146	24829,106034
30,461400	-608,004203	24918,284637
30,461600	-581,556745	25003,944160
30,461800	-540,709430	25082,612229
30,462000	-487,503220	25151,265953
30,462200	-424,560173	25207,469899
30,462400	-354,921369	25249,473981
30,462600	-281,872793	25276,268758
30,462800	-208,769767	25287,598376
30,463000	-138,869581	25283,933803
30,463200	-75,180656	25266,411029
30,463400	-20,334802	25236,740353
30,463600	23,512715	25197,093913
30,463800	54,752553	25149,979008
30,464000	72,359186	25098,104799
30,464200	75,898101	25044,249574
30,464400	65,504477	24991,135065
30,464600	41,836773	24941,313364
30,464800	6,009503	24897,070919
30,465000	-40,489853	24860,352932
30,465200	-95,894516	24832,710231
30,465400	-158,257189	24815,269549
30,465600	-225,548635	24808,726905
30,465800	-295,751008	24813,362733
30,466000	-366,941424	24829,076360
30,466200	-437,361961	24855,436548
30,466400	-505,473147	24891,744100
30,466600	-569,989026	24937,101985
30,466800	-629,893033	24990,488139
30,467000	-684,435087	25050,826101
30,467200	-733,111533	25117,048871
30,467400	-775,630652	25188,151976
30,467600	-811,867422	25263,232570
30,467800	-841,811939	25341,512473
30,468000	-865,516305	25422,344346
30,468200	-883,044837	25505,201529
30,468400	-894,432141	25589,653449
30,468600	-899,652858	25675,329698
30,468800	-898,605889	25761,876885
30,469000	-891,114557	25848,913035
30,469200	-876,942736	25935,984545
30,469400	-855,825486	26022,530567
30,469600	-827,511299	26107,859042
30,469800	-791,811924	26191,137628
30,470000	-748,654888	26271,401399
30,470200	-698,133414	26347,577707
30,470400	-640,548517	26418,526935
30,470600	-576,438598	26483,096382
30,470800	-506,592822	26540,183167
30,471000	-432,045944	26588,801093
30,471200	-354,053805	26628,145848
30,471400	-274,050435	26657,652875
30,471600	-193,589316	26677,042722
30,471800	-114,272845	26686,349569
30,472000	-37,675102	26685,929990
30,472200	34,736231	26676,450565
30,472400	101,672811	26658,854701
30,472600	162,087721	26634,310750
30,472800	215,221819	26604,145026
30,473000	260,630659	26569,764624
30,473200	298,189825	26532,575760
30,473400	328,078201	26493,903755
30,473600	350,740433	26454,920673
30,473800	366,831457	26416,586034
30,474000	377,147333	26379,605003
30,474200	382,547658	26344,407133
30,474400	383,875473	26311,147166
30,474600	381,880697	26279,727741
30,474800	377,152889	26249,842266
30,475000	370,068389	26221,034718
30,475200	360,755890	26192,771951
30,475400	349,083132	26164,523203
30,475600	334,665988	26135,840997
30,475800	316,899640	26106,437508
30,476000	295,010077	26076,250760
30,476200	268,122798	26045,495631
30,476400	235,344414	26014,695565
30,476600	195,852008	25984,692072
30,476800	148,984465	25956,630394
30,477000	94,329763	25931,921166
30,477200	31,802261	25912,179350
30,477400	-38,295607	25899,143083
30,477600	-115,232101	25894,576441
30,477800	-197,829312	25900,161180
30,478000	-284,473376	25917,383483
30,478200	-373,152986	25947,422322
30,478400	-461,525911	25991,046395
30,478600	-547,011518	26048,526515
30,478800	-626,905644	26119,569920
30,479000	-698,512562	26203,282113
30,479200	-759,287373	26298,160609
30,479400	-806,981004	26402,123351
30,479600	-839,779247	26512,572661
30,479800	-856,426986	26626,493420
30,480000	-856,328986	26740,581939
30,480200	-839,619508	26851,399774
30,480400	-807,194387	26955,544678
30,480600	-760,701237	27049,829265
30,480800	-702,485876	27131,456734
30,481000	-635,495828	27198,182572
30,481200	-563,144685	27248,451306
30,481400	-489,144004	27281,498490
30,481600	-417,311943	27297,409863
30,481800	-351,369972	27297,132172
30,482000	-294,740319	27282,433234
30,482200	-250,357340	27255,812225
30,482400	-220,505536	27220,364772
30,482600	-206,695482	27179,610747
30,482800	-209,586586	27137,295625
30,483000	-228,962412	27097,178441
30,483200	-263,760614	27062,820656
30,483400	-312,155510	27037,390443
30,483600	-371,687378	27023,495912
30,483800	-439,428983	27023,058769
30,484000	-512,176925	27037,236858
30,484200	-586,653518	27066,400231
30,484400	-659,704065	27110,161236
30,484600	-728,474926	27167,454747
30,484800	-790,559453	27236,660693
30,485000	-844,101687	27315,757665
30,485200	-887,851439	27402,493964
30,485400	-921,168615	27494,561270
30,485600	-943,979126	27589,756190
30,485800	-956,688939	27686,116384
30,486000	-960,066447	27782,020638
30,486200	-955,105994	27876,245835
30,486400	-942,886836	27967,978070
30,486600	-924,441860	28056,779652
30,486800	-900,649101	28142,518068
30,487000	-872,156449	28225,266691
30,487200	-839,346339	28305,189760
30,487400	-802,342883	28382,425606
30,487600	-761,059297	28456,982188
30,487800	-715,279114	28528,657533
30,488000	-664,760894	28596,995020
30,488200	-609,353427	28661,279543
30,488400	-549,107054	28720,576152
30,488600	-484,366828	28773,807944
30,488800	-415,834907	28819,865450
30,489000	-344,592585	28857,735935
30,489200	-272,076568	28886,638293
30,489400	-200,008946	28906,147993
30,489600	-130,285444	28916,296813
30,489800	-64,831375	28917,634152
30,490000	-5,438725	28911,240112
30,490200	46,399388	28898,685242
30,490400	89,639463	28881,937189
30,490600	123,806674	28863,220146
30,490800	149,067693	28844,838239
30,491000	166,246675	28828,978366
30,491200	176,778992	28817,510984
30,491400	182,603339	28811,808624
30,491600	185,999067	28812,601168
30,491800	189,381417	28819,884358
30,492000	195,072217	28832,893551
30,492200	205,066904	28850,148979
30,492400	220,820181	28869,572074
30,492600	243,071895	28888,665482
30,492800	271,731915	28904,742897
30,493000	305,837946	28915,189360
30,493200	343,593933	28917,728894
30,493400	382,489323	28910,674598
30,493600	419,491810	28893,136916
30,493800	451,298967	28865,168737
30,494000	474,627984	28827,831061
30,494200	486,518421	28783,169760
30,494400	484,620682	28734,101941
30,494600	467,443302	28684,218732
30,494800	434,535023	28637,519328
30,495000	386,582912	28598,097936
30,495200	325,414897	28569,810284
30,495400	253,903609	28555,948997
30,495600	175,777338	28558,957102
30,495800	95,352614	28580,206205
30,496000	17,210404	28619,860519
30,496200	-54,156438	28676,840582
30,496400	-114,693671	28748,891608
30,496600	-161,102968	28832,751944
30,496800	-191,097412	28924,407874
30,497000	-203,571849	29019,412892
30,497200	-198,672302	29113,243365
30,497400	-177,757759	29201,658883
30,497600	-143,257551	29281,034825
30,497800	-98,437214	29348,637053
30,498000	-47,094334	29402,813754
30,498200	6,787466	29443,087136
30,498400	59,394195	29470,136934
30,498600	107,413578	29485,677900
30,498800	148,312463	29492,243459
30,499000	180,533560	29492,896722
30,499200	203,593206	29490,897011
30,499400	218,071286	29489,354415
30,499600	225,494894	29490,906135
