Frequency	Real part	Imaginary part
30,426100	-1289,363523	17175,981052
30,426200	-1263,059027	17391,712691
30,426300	-1218,375578	17599,699493
30,426400	-1156,502063	17798,112985
30,426500	-1078,831548	17985,295743
30,426600	-986,936480	18159,785842
30,426700	-882,540866	18320,337630
30,426800	-767,489967	18465,938458
30,426900	-643,718136	18595,821057
30,427000	-513,215403	18709,471378
30,427100	-377,993491	18806,631766
30,427200	-240,051912	18887,299474
30,427300	-101,344788	18951,720588
30,427400	36,250951	19000,379543
30,427500	170,965424	19033,984496
30,427600	301,163134	19053,448892
30,427700	425,367327	19059,869648
30,427800	542,280922	19054,502429
30,427900	650,803692	19038,734551
30,428000	750,045429	19014,056070
30,428100	839,334910	18982,029669
30,428200	918,224598	18944,259939
30,428300	986,491054	18902,362667
30,428400	1044,131186	18857,934733
30,428500	1091,354469	18812,525171
30,428600	1128,571431	18767,607944
30,428700	1156,378686	18724,556905
30,428800	1175,540927	18684,623379
30,428900	1186,970310	18648,916724
30,429000	1191,703695	18618,388165
30,429100	1190,878265	18593,818112
30,429200	1185,706046	18575,807109
30,429300	1177,447858	18564,770463
30,429400	1167,387222	18560,936538
30,429500	1156,804742	18564,348623
30,429600	1146,953431	18574,870206
30,429700	1139,035440	18592,193420
30,429800	1134,180579	18615,850395
30,429900	1133,426985	18645,227149
30,430000	1137,704216	18679,579682
30,430100	1147,819010	18718,051827
30,430200	1164,443859	18759,694475
30,430300	1188,108490	18803,485708
30,430400	1219,194302	18848,351429
30,430500	1257,931697	18893,186050
30,430600	1304,400231	18936,872853
30,430700	1358,531436	18978,303636
30,430800	1420,114103	19016,397311
30,430900	1488,801801	19050,117153
30,431000	1564,122352	19078,486451
30,431100	1645,488973	19100,602359
30,431200	1732,212753	19115,647782
30,431300	1823,516157	19122,901227
30,431400	1918,547233	19121,744541
30,431500	2016,394187	19111,668556
30,431600	2116,100046	19092,276686
30,431700	2216,677113	19063,286565
30,431800	2317,120973	19024,529850
30,431900	2416,423812	18975,950360
30,432000	2513,586886	18917,600720
30,432100	2607,631962	18849,637718
30,432200	2697,611652	18772,316590
30,432300	2782,618539	18685,984450
30,432400	2861,793091	18591,073064
30,432500	2934,330335	18488,091207
30,432600	2999,485344	18377,616757
30,432700	3056,577603	18260,288736
30,432800	3104,994314	18136,799418
30,432900	3144,192778	18007,886659
30,433000	3173,701944	17874,326526
30,433100	3193,123265	17736,926312
30,433200	3202,130989	17596,517965
