Frequency	Real part	Imaginary part
30,428100	-3314,206441	18223,842851
30,428200	-3385,866411	18504,786377
30,428300	-3431,422330	18788,586718
30,428400	-3451,063929	19072,288590
30,428500	-3445,351390	19353,013145
30,428600	-3415,199464	19628,007103
30,428700	-3361,854859	19894,689005
30,428800	-3286,867392	20150,691662
30,428900	-3192,055541	20393,899935
30,429000	-3079,467116	20622,483093
30,429100	-2951,335934	20834,921120
30,429200	-2810,035384	21030,024456
30,429300	-2658,029921	21206,946815
30,429400	-2497,825480	21365,190874
30,429500	-2331,919902	21504,606775
30,429600	-2162,754382	21625,383536
30,429700	-1992,666991	21728,033628
30,429800	-1823,849217	21813,371123
30,429900	-1658,306425	21882,483941
30,430000	-1497,823052	21936,700870
30,430100	-1343,933217	21977,554122
30,430200	-1197,897322	22006,738293
30,430300	-1060,685084	22026,066674
30,430400	-932,965283	22037,425881
30,430500	-815,102362	22042,729839
30,430600	-707,159875	22043,874137
30,430700	-608,910605	22042,691756
30,430800	-519,853051	22040,911143
30,430900	-439,233823	22040,117531
30,431000	-366,075375	22041,718334
30,431100	-299,208367	22046,913340
30,431200	-237,307883	22056,670313
30,431300	-178,932619	22071,706497
30,431400	-122,566117	22092,476350
30,431500	-66,659082	22119,165732
30,431600	-9,671785	22151,692583
30,431700	49,884406	22189,714013
30,431800	113,407324	22232,639552
30,431900	182,167028	22279,650192
30,432000	257,272377	22329,722717
30,432100	339,641885	22381,658691
30,432200	429,979504	22434,117393
30,432300	528,755837	22485,651883
30,432400	636,195167	22534,747340
30,432500	752,268559	22579,860737
30,432600	876,693133	22619,460942
30,432700	1008,937472	22652,068279
30,432800	1148,232994	22676,292650
30,432900	1293,590972	22690,869321
30,433000	1443,824753	22694,691575
30,433100	1597,576634	22686,839469
30,433200	1753,348726	22666,604077
30,433300	1909,537061	22633,506661
30,433400	2064,468120	22587,312376
30,433500	2216,436933	22528,038217
30,433600	2363,745841	22455,955056
30,433700	2504,743019	22371,583766
30,433800	2637,859875	22275,685548
30,433900	2761,646460	22169,246732
30,434000	2874,804088	22053,458413
30,434100	2976,214417	21929,691451
30,434200	3064,964364	21799,467407
30,434300	3140,366270	21664,426129
30,434400	3201,972923	21526,290744
30,434500	3249,587077	21386,830869
30,434600	3283,265320	21247,824903
30,434700	3303,316213	21111,022265
30,434800	3310,292783	20978,106433
30,434900	3304,979576	20850,659638
30,435000	3288,374598	20730,129993
30,435100	3261,666594	20617,801797
30,435200	3226,208192	20514,769674
30,435300	3183,485582	20421,917092
30,435400	3135,085403	20339,899743
30,435500	3082,659649	20269,134110
30,435600	3027,889366	20209,791450
30,435700	2972,448003	20161,797294
30,435800	2917,965228	20124,836427
30,435900	2865,992037	20098,363201
30,436000	2817,967929	20081,616901
30,436100	2775,190883	20073,641780
30,436200	2738,790778	20073,311275
30,436300	2709,706853	20079,355814
30,436400	2688,669662	20090,393565
30,436500	2676,187905	20104,963398
30,436600	2672,540393	20121,559309
30,436700	2677,773285	20138,665492
30,436800	2691,702611	20154,791286
30,436900	2713,921979	20168,505189
30,437000	2743,815253	20178,467185
30,437100	2780,573864	20183,458662
30,437200	2823,218324	20182,409277
30,437300	2870,623426	20174,420164
30,437400	2921,546521	20158,783022
30,437500	2974,658203	20134,994658
30,437600	3028,574700	20102,766713
30,437700	3081,891210	20062,030396
30,437800	3133,215429	20012,936137
30,437900	3181,200515	19955,848246
30,438000	3224,576737	19891,334710
30,438100	3262,181121	19820,152415
30,438200	3292,984432	19743,228163
30,438300	3316,114915	19661,635936
30,438400	3330,878280	19576,570962
30,438500	3336,773524	19489,321184
30,438600	3333,504258	19401,236781
30,438700	3320,985327	19313,698466
30,438800	3299,344621	19228,085245
30,438900	3268,920058	19145,742380
30,439000	3230,251858	19067,950265
30,439100	3184,070309	18995,894882
30,439200	3131,279332	18930,640493
30,439300	3072,936246	18873,105149
30,439400	3010,228192	18824,039521
30,439500	2944,445778	18784,009506
30,439600	2876,954523	18753,382945
30,439700	2809,164753	18732,320710
30,439800	2742,500603	18720,772332
30,439900	2678,368809	18718,476201
30,440000	2618,127953	18724,964326
30,440100	2563,058821	18739,571484
30,440200	2514,336498	18761,448550
30,440300	2473,004763	18789,579677
30,440400	2439,953322	18822,802923
30,440500	2415,898305	18859,833879
30,440600	2401,366432	18899,291751
30,440700	2396,683110	18939,727348
30,440800	2401,964692	18979,652375
30,440900	2417,114991	19017,569407
30,441000	2441,826085	19052,001935
30,441100	2475,583343	19081,523868
30,441200	2517,674517	19104,787898
30,441300	2567,202671	19120,552192
30,441400	2623,102628	19127,704875
30,441500	2684,160583	19125,285874
30,441600	2749,036417	19112,505717
30,441700	2816,288269	19088,760974
30,441800	2884,398836	19053,646090
30,441900	2951,802866	19006,961443
30,442000	3016,915302	18948,717541
30,442100	3078,159541	18879,135346
30,442200	3133,995254	18798,642786
30,442300	3182,945269	18707,867614
30,442400	3223,621048	18607,626801
30,442500	3254,746295	18498,912741
30,442600	3275,178335	18382,876600
30,442700	3283,926916	18260,809163
30,442800	3280,170158	18134,119583
30,442900	3263,267464	18004,312481
30,443000	3232,769211	17872,963815
30,443100	3188,423178	17741,695991
30,443200	3130,177678	17612,152659
30,443300	3058,181440	17485,973628
30,443400	2972,780355	17364,770318
30,443500	2874,511234	17250,102150
30,443600	2764,092784	17143,454198
30,443700	2642,414052	17046,216462
30,443800	2510,520604	16959,664992
30,443900	2369,598750	16884,945109
30,444000	2220,958127	16823,056907
30,444100	2066,012984	16774,843138
30,444200	1906,262486	16740,979581
30,444300	1743,270381	16721,967928
30,444400	1578,644346	16718,131163
30,444500	1414,015308	16729,611394
30,444600	1251,017041	16756,370056
30,444700	1091,266283	16798,190355
30,444800	936,343618	16854,681829
30,444900	787,775308	16925,286842
30,445000	647,016276	17009,288848
30,445100	515,434360	17105,822233
30,445200	394,295949	17213,883537
30,445300	284,753115	17332,343867
30,445400	187,832255	17459,962301
30,445500	104,424324	17595,400113
30,445600	35,276631	17737,235630
30,445700	-19,013770	17883,979556
30,445800	-58,005143	18034,090631
30,445900	-81,414588	18185,991454
30,446000	-89,120067	18338,084377
30,446100	-81,160985	18488,767326
30,446200	-57,737340	18636,449474
30,446300	-19,207530	18779,566650
30,446400	33,915182	18916,596410
30,446500	100,967476	19046,072683
30,446600	181,142029	19166,599920
30,446700	273,494769	19276,866663
30,446800	376,953309	19375,658455
30,446900	490,326506	19461,870018
30,447000	612,315122	19534,516604
30,447100	741,523533	19592,744437
30,447200	876,472449	19635,840140
30,447300	1015,612576	19663,239064
30,447400	1157,339170	19674,532397
30,447500	1300,007373	19669,472956
30,447600	1441,948270	19647,979562
30,447700	1581,485517	19610,139877
30,447800	1716,952435	19556,211615
30,447900	1846,709410	19486,622043
30,448000	1969,161423	19401,965680
30,448100	2082,775530	19303,000144
30,448200	2186,098095	19190,640098
30,448300	2277,771538	19065,949290
30,448400	2356,550393	18930,130684
30,448500	2421,316424	18784,514721
30,448600	2471,092569	18630,545800
30,448700	2505,055471	18469,767062
30,448800	2522,546365	18303,803629
30,448900	2523,080115	18134,344473
30,449000	2506,352186	17963,123124
30,449100	2472,243390	17791,897448
30,449200	2420,822254	17622,428781
30,449300	2352,344903	17456,460701
30,449400	2267,252379	17295,697758
30,449500	2166,165378	17141,784490
30,449600	2049,876413	16996,285068
30,449700	1919,339468	16860,663914
30,449800	1775,657260	16736,267611
30,449900	1620,066267	16624,308456
30,450000	1453,919737	16525,849931
30,450100	1278,668920	16441,794397
30,450200	1095,842832	16372,873226
30,450300	907,026871	16319,639589
30,450400	713,840657	16282,464059
30,450500	517,915471	16261,533110
30,450600	320,871700	16256,850586
30,450700	124,296700	16268,242115
30,450800	-70,276521	16295,362404
30,450900	-261,389401	16337,705281
30,451000	-447,676312	16394,616313
30,451100	-627,881111	16465,307735
30,451200	-800,871407	16548,875417
30,451300	-965,650296	16644,317526
30,451400	-1121,365332	16750,554496
30,451500	-1267,314572	16866,449906
30,451600	-1402,949591	16990,831842
30,451700	-1527,875423	17122,514271
30,451800	-1641,847468	17260,318019
