Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,728	268790,805	4,0	8,0	60,0	20,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	296449,934	4,0	8,0	84,0	44,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	303720,213	4,0	8,0	118,0	78,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	275147,691	4,0	8,0	165,0	125,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	273595,182	4,0	8,0	230,0	190,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	269180,684	4,0	8,0	323,0	283,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	254792,691	4,0	8,0	452,0	412,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	244631,534	4,0	8,0	632,0	592,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	220605,574	4,0	8,0	885,0	845,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	201487,758	4,0	8,0	1240,0	1200,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	163681,862	4,0	8,0	1736,0	1696,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	124868,587	4,0	8,0	2430,0	2390,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	87289,941	4,0	8,0	3402,0	3362,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	56314,583	4,0	8,0	4762,0	4722,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	36987,200	4,0	8,0	6667,0	6627,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	21769,661	4,0	8,0	9334,0	9294,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	24944,377	4,0	8,0	13068,0	13028,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	23998,481	4,0	8,0	18295,0	18255,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	23680,836	4,0	8,0	25613,0	25573,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
30,728	22262,902	4,0	8,0	35858,0	35818,0	1000,0	300,0	1,0	0,0	20,0	100,0	11,0
