Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,590	151338,438	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,640	109009,763	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,690	57488,275	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,740	24038,708	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,790	5410,754	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,840	936,518	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,890	395,725	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,540	106583,879	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,490	20927,370	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,440	1719,259	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,390	892,856	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
30,340	588,346	4,0	8,0	60,0	20,0	2000,0	100,0	1,0	0,0	37,0	53,0	10,3
