Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,625	52994,556	4,0	8,0	60,0	20,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	53936,525	4,0	8,0	78,0	38,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	52500,787	4,0	8,0	101,0	61,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	51397,968	4,0	8,0	132,0	92,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	50766,355	4,0	8,0	171,0	131,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	50675,219	4,0	8,0	223,0	183,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	48877,197	4,0	8,0	290,0	250,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	47106,903	4,0	8,0	376,0	336,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	45466,022	4,0	8,0	489,0	449,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	43413,657	4,0	8,0	636,0	596,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	40148,460	4,0	8,0	827,0	787,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	35500,412	4,0	8,0	1075,0	1035,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	30883,717	4,0	8,0	1398,0	1358,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	25693,837	4,0	8,0	1817,0	1777,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	19566,748	4,0	8,0	2362,0	2322,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	14392,949	4,0	8,0	3071,0	3031,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	8225,692	4,0	8,0	3992,0	3952,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	5138,214	4,0	8,0	5190,0	5150,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	1561,043	4,0	8,0	6747,0	6707,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	547,135	4,0	8,0	8772,0	8732,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	432,868	4,0	8,0	11403,0	11363,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	368,223	4,0	8,0	14824,0	14784,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	268,456	4,0	8,0	19271,0	19231,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	58,183	4,0	8,0	25052,0	25012,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
30,625	358,208	4,0	8,0	32568,0	32528,0	2000,0	40,0	1,0	0,0	36,0	55,0	10,3
