Frequency	Real part	Imaginary part
30,332000	727,453474	16820,143583
30,332100	722,263969	16819,365355
30,332200	716,460418	16818,954238
30,332300	710,069358	16818,983074
30,332400	703,126084	16819,522722
30,332500	695,674531	16820,640979
30,332600	687,767015	16822,401491
30,332700	679,463836	16824,862696
30,332800	670,832739	16828,076788
30,332900	661,948232	16832,088748
30,333000	652,890776	16836,935445
30,333100	643,745852	16842,644837
30,333200	634,602907	16849,235277
30,333300	625,554215	16856,714959
30,333400	616,693642	16865,081497
30,333500	608,115359	16874,321669
30,333600	599,912512	16884,411321
30,333700	592,175865	16895,315446
30,333800	584,992460	16906,988440
30,333900	578,444290	16919,374531
30,334000	572,607039	16932,408386
30,334100	567,548887	16946,015879
30,334200	563,329421	16960,115018
30,334300	559,998665	16974,617019
30,334400	557,596244	16989,427500
30,334500	556,150719	17004,447786
30,334600	555,679079	17019,576299
30,334700	556,186427	17034,710015
30,334800	557,665853	17049,745950
30,334900	560,098508	17064,582661
30,335000	563,453869	17079,121737
30,335100	567,690203	17093,269231
30,335200	572,755217	17106,937041
30,335300	578,586883	17120,044181
30,335400	585,114433	17132,517944
30,335500	592,259490	17144,294917
30,335600	599,937330	17155,321843
30,335700	608,058249	17165,556300
30,335800	616,528999	17174,967199
30,335900	625,254285	17183,535081
30,336000	634,138278	17191,252211
30,336100	643,086128	17198,122470
30,336200	652,005436	17204,161043
30,336300	660,807679	17209,393912
30,336400	669,409530	17213,857170
30,336500	677,734085	17217,596158
30,336600	685,711940	17220,664454
30,336700	693,282122	17223,122729
30,336800	700,392850	17225,037491
30,336900	707,002111	17226,479751
30,337000	713,078039	17227,523630
30,337100	718,599105	17228,244931
30,337200	723,554097	17228,719722
30,337300	727,941912	17229,022937
30,337400	731,771155	17229,227036
30,337500	735,059555	17229,400748
30,337600	737,833221	17229,607912
30,337700	740,125747	17229,906455
30,337800	741,977195	17230,347511
30,337900	743,432965	17230,974700
30,338000	744,542595	17231,823590
30,338100	745,358507	17232,921333
30,338200	745,934720	17234,286494
30,338300	746,325576	17235,929066
30,338400	746,584489	17237,850670
30,338500	746,762750	17240,044934
30,338600	746,908420	17242,498036
30,338700	747,065316	17245,189395
30,338800	747,272132	17248,092502
30,338900	747,561692	17251,175859
30,339000	747,960367	17254,404005
30,339100	748,487652	17257,738616
30,339200	749,155921	17261,139633
30,339300	749,970351	17264,566409
30,339400	750,929032	17267,978844
30,339500	752,023228	17271,338470
30,339600	753,237818	17274,609485
30,339700	754,551871	17277,759687
30,339800	755,939356	17280,761308
30,339900	757,369968	17283,591719
30,340000	758,810041	17286,233993
30,340100	760,223532	17288,677314
30,340200	761,573051	17290,917231
30,340300	762,820903	17292,955742
30,340400	763,930131	17294,801214
30,340500	764,865524	17296,468146
30,340600	765,594562	17297,976778
30,340700	766,088296	17299,352556
