Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,580	41485,361	4,0	8,0	60,0	20,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	41093,964	4,0	8,0	84,0	44,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	38449,187	4,0	8,0	118,0	78,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	36867,938	4,0	8,0	165,0	125,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	36603,093	4,0	8,0	230,0	190,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	34902,699	4,0	8,0	323,0	283,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	31904,352	4,0	8,0	452,0	412,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	27727,711	4,0	8,0	632,0	592,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	21091,623	4,0	8,0	885,0	845,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	12554,937	4,0	8,0	1240,0	1200,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	4897,384	4,0	8,0	1736,0	1696,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	1122,702	4,0	8,0	2430,0	2390,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	430,933	4,0	8,0	3402,0	3362,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	390,445	4,0	8,0	4762,0	4722,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	174,711	4,0	8,0	6667,0	6627,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	138,275	4,0	8,0	9334,0	9294,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
30,580	232,952	4,0	8,0	13068,0	13028,0	5000,0	30,0	1,0	0,0	37,0	53,0	11,0
