Frequency	Real part	Imaginary part
30,425100	-367,217243	14235,627763
30,425200	-357,348051	14260,560320
30,425300	-347,356120	14283,881639
30,425400	-337,433600	14305,744329
30,425500	-327,738397	14326,321050
30,425600	-318,392386	14345,798537
30,425700	-309,480592	14364,371512
30,425800	-301,051334	14382,236646
30,425900	-293,117310	14399,586710
30,426000	-285,657567	14416,605076
30,426100	-278,620272	14433,460672
30,426200	-271,926212	14450,303541
30,426300	-265,472888	14467,261073
30,426400	-259,139102	14484,435016
30,426500	-252,789881	14501,899306
30,426600	-246,281610	14519,698765
30,426700	-239,467229	14537,848669
30,426800	-232,201338	14556,335181
30,426900	-224,345092	14575,116615
30,427000	-215,770727	14594,125471
30,427100	-206,365634	14613,271159
30,427200	-196,035838	14632,443331
30,427300	-184,708836	14651,515697
30,427400	-172,335693	14670,350215
30,427500	-158,892376	14688,801508
30,427600	-144,380296	14706,721392
30,427700	-128,826053	14723,963367
30,427800	-112,280426	14740,386934
30,427900	-94,816634	14755,861630
30,428000	-76,527945	14770,270636
30,428100	-57,524726	14783,513886
30,428200	-37,931016	14795,510565
30,428300	-17,880755	14806,200943
30,428400	2,486224	14815,547493
30,428500	23,028293	14823,535268
30,428600	43,606099	14830,171536
30,428700	64,086475	14835,484689
30,428800	84,346063	14839,522476
30,428900	104,274527	14842,349609
30,429000	123,777277	14844,044845
30,429100	142,777594	14844,697614
30,429200	161,218092	14844,404337
30,429300	179,061484	14843,264526
30,429400	196,290601	14841,376812
30,429500	212,907688	14838,835034
30,429600	228,932962	14835,724512
30,429700	244,402515	14832,118624
30,429800	259,365582	14828,075831
30,429900	273,881294	14823,637224
30,430000	288,014986	14818,824697
30,430100	301,834196	14813,639827
30,430200	315,404471	14808,063494
30,430300	328,785115	14802,056283
30,430400	342,025015	14795,559666
30,430500	355,158687	14788,497955
30,430600	368,202676	14780,780979
30,430700	381,152427	14772,307418
30,430800	393,979754	14762,968714
30,430900	406,630990	14752,653461
30,431000	419,025918	14741,252133
30,431100	431,057521	14728,662046
30,431200	442,592607	14714,792383
30,431300	453,473304	14699,569156
30,431400	463,519431	14682,939946
30,431500	472,531692	14664,878267
30,431600	480,295637	14645,387435
30,431700	486,586307	14624,503795
30,431800	491,173452	14602,299193
30,431900	493,827210	14578,882614
30,432000	494,324083	14554,400893
30,432100	492,453085	14529,038449
30,432200	488,021890	14503,016034
30,432300	480,862814	14476,588474
30,432400	470,838476	14450,041440
30,432500	457,846982	14423,687302
30,432600	441,826474	14397,860146
30,432700	422,758925	14372,910045
30,432800	400,673048	14349,196721
30,432900	375,646237	14327,082729
30,433000	347,805452	14306,926326
30,433100	317,327018	14289,074182
30,433200	284,435296	14273,854119
30,433300	249,400258	14261,568043
30,433400	212,533978	14252,485243
30,433500	174,186116	14246,836233
30,433600	134,738481	14244,807280
30,433700	94,598783	14246,535758
30,433800	54,193706	14252,106461
30,433900	13,961459	14261,548960
30,434000	-25,656031	14274,836086
30,434100	-64,221112	14291,883575
30,434200	-101,308401	14312,550912
30,434300	-136,512595	14336,643346
30,434400	-169,455926	14363,915041
30,434500	-199,795081	14394,073310
30,434600	-227,227434	14426,783817
30,434700	-251,496449	14461,676650
30,434800	-272,396125	14498,353119
30,434900	-289,774393	14536,393123
30,435000	-303,535380	14575,362922
30,435100	-313,640507	14614,823135
30,435200	-320,108395	14654,336784
30,435300	-323,013586	14693,477195
30,435400	-322,484131	14731,835586
30,435500	-318,698100	14769,028170
30,435600	-311,879113	14804,702611
30,435700	-302,291001	14838,543713
30,435800	-290,231737	14870,278194
30,435900	-276,026788	14899,678476
30,436000	-260,022045	14926,565407
30,436100	-242,576513	14950,809878
30,436200	-224,054923	14972,333315
30,436300	-204,820457	14991,107057
30,436400	-185,227738	15007,150673
30,436500	-165,616257	15020,529260
30,436600	-146,304376	15031,349841
30,436700	-127,584037	15039,756943
30,436800	-109,716295	15045,927510
30,436900	-92,927740	15050,065277
30,437000	-77,407892	15052,394767
30,437100	-63,307591	15053,155072
30,437200	-50,738397	15052,593576
30,437300	-39,772977	15050,959781
30,437400	-30,446440	15048,499398
30,437500	-22,758561	15045,448834
30,437600	-16,676793	15042,030215
30,437700	-12,139968	15038,447053
30,437800	-9,062566	15034,880653
30,437900	-7,339413	15031,487325
30,438000	-6,850672	15028,396457
30,438100	-7,466971	15025,709459
30,438200	-9,054528	15023,499600
30,438300	-11,480133	15021,812680
30,438400	-14,615838	15020,668520
30,438500	-18,343248	15020,063181
30,438600	-22,557285	15019,971836
30,438700	-27,169350	15020,352182
30,438800	-32,109799	15021,148280
30,438900	-37,329678	15022,294707
30,439000	-42,801699	15023,720866
30,439100	-48,520436	15025,355351
30,439200	-54,501767	15027,130206
30,439300	-60,781584	15028,984983
30,439400	-67,413839	15030,870455
30,439500	-74,467999	15032,751907
30,439600	-82,025981	15034,611896
30,439700	-90,178693	15036,452418
30,439800	-99,022279	15038,296427
30,439900	-108,654175	15040,188678
30,440000	-119,169119	15042,195875
