Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,730	180749,465	4,0	8,0	60,0	20,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	176348,439	4,0	8,0	78,0	38,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	172459,881	4,0	8,0	101,0	61,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	166556,522	4,0	8,0	132,0	92,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	160510,172	4,0	8,0	171,0	131,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	159595,389	4,0	8,0	223,0	183,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	157623,319	4,0	8,0	290,0	250,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	149751,720	4,0	8,0	376,0	336,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	144735,123	4,0	8,0	489,0	449,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	137601,330	4,0	8,0	636,0	596,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	127911,386	4,0	8,0	827,0	787,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	115035,599	4,0	8,0	1075,0	1035,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	99331,586	4,0	8,0	1398,0	1358,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	83165,367	4,0	8,0	1817,0	1777,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	69154,671	4,0	8,0	2362,0	2322,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	49779,597	4,0	8,0	3071,0	3031,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	31015,023	4,0	8,0	3992,0	3952,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	20370,453	4,0	8,0	5190,0	5150,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	10206,871	4,0	8,0	6747,0	6707,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	2680,473	4,0	8,0	8772,0	8732,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	1434,635	4,0	8,0	11403,0	11363,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	989,232	4,0	8,0	14824,0	14784,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	407,462	4,0	8,0	19271,0	19231,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	766,896	4,0	8,0	25052,0	25012,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
