Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,726	276911,251	4,0	8,0	60,0	20,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	276739,005	4,0	8,0	78,0	38,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	275974,327	4,0	8,0	101,0	61,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	272378,094	4,0	8,0	132,0	92,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	263899,135	4,0	8,0	171,0	131,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	259173,130	4,0	8,0	223,0	183,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	257764,735	4,0	8,0	290,0	250,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	250995,839	4,0	8,0	376,0	336,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	244642,216	4,0	8,0	489,0	449,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	226721,570	4,0	8,0	636,0	596,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	210959,533	4,0	8,0	827,0	787,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	190384,076	4,0	8,0	1075,0	1035,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	167414,164	4,0	8,0	1398,0	1358,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	141050,218	4,0	8,0	1817,0	1777,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	112673,282	4,0	8,0	2362,0	2322,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	81216,157	4,0	8,0	3071,0	3031,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	54663,286	4,0	8,0	3992,0	3952,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	35072,304	4,0	8,0	5190,0	5150,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	14806,250	4,0	8,0	6747,0	6707,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	9817,906	4,0	8,0	8772,0	8732,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	8085,781	4,0	8,0	11403,0	11363,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	7948,016	4,0	8,0	14824,0	14784,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	6046,380	4,0	8,0	19271,0	19231,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	5944,092	4,0	8,0	25052,0	25012,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
30,726	6175,651	4,0	8,0	32568,0	32528,0	1000,0	200,0	1,0	0,0	20,0	80,0	10,3
