Frequency	Real part	Imaginary part
30,030000	-204,336898	-26,689846
30,030100	-206,672054	-21,381554
30,030200	-208,755436	-16,016012
30,030300	-210,597930	-10,617060
30,030400	-212,213299	-5,204922
30,030500	-213,617398	0,204150
30,030600	-214,827341	5,598079
30,030700	-215,860660	10,969013
30,030800	-216,734473	16,313216
30,030900	-217,464699	21,630813
30,031000	-218,065336	26,925389
30,031100	-218,547834	32,203474
30,031200	-218,920573	37,473914
30,031300	-219,188479	42,747161
30,031400	-219,352773	48,034504
30,031500	-219,410874	53,347263
30,031600	-219,356454	58,695984
30,031700	-219,179648	64,089648
30,031800	-218,867405	69,534939
30,031900	-218,403983	75,035576
30,032000	-217,771553	80,591752
30,032100	-216,950917	86,199686
30,032200	-215,922297	91,851319
30,032300	-214,666181	97,534148
30,032400	-213,164193	103,231227
30,032500	-211,399969	108,921322
30,032600	-209,359991	114,579232
30,032700	-207,034378	120,176258
30,032800	-204,417578	125,680817
30,032900	-201,508962	131,059178
30,033000	-198,313278	136,276311
30,033100	-194,840962	141,296812
30,033200	-191,108285	146,085890
30,033300	-187,137326	150,610381
30,033400	-182,955772	154,839756
30,033500	-178,596539	158,747102
30,033600	-174,097230	162,310041
30,033700	-169,499427	165,511552
30,033800	-164,847848	168,340682
30,033900	-160,189381	170,793115
30,034000	-155,572018	172,871575
30,034100	-151,043721	174,586057
30,034200	-146,651254	175,953868
30,034300	-142,438995	176,999473
30,034400	-138,447789	177,754148
30,034500	-134,713839	178,255441
30,034600	-131,267706	178,546458
30,034700	-128,133406	178,674976
30,034800	-125,327671	178,692422
30,034900	-122,859360	178,652728
30,035000	-120,729070	178,611091
30,035100	-118,928938	178,622680
30,035200	-117,442654	178,741309
30,035300	-116,245694	179,018122
30,035400	-115,305747	179,500319
30,035500	-114,583362	180,229949
30,035600	-114,032766	181,242826
30,035700	-113,602865	182,567568
30,035800	-113,238380	184,224810
30,035900	-112,881110	186,226593
30,036000	-112,471274	188,575969
30,036100	-111,948912	191,266807
30,036200	-111,255307	194,283837
30,036300	-110,334374	197,602905
30,036400	-109,134019	201,191454
30,036500	-107,607388	205,009207
30,036600	-105,714010	209,009047
30,036700	-103,420779	213,138064
30,036800	-100,702775	217,338743
30,036900	-97,543872	221,550272
30,037000	-93,937141	225,709928
30,037100	-89,885037	229,754508
30,037200	-85,399343	233,621773
30,037300	-80,500900	237,251862
30,037400	-75,219113	240,588644
30,037500	-69,591251	243,580974
30,037600	-63,661564	246,183819
30,037700	-57,480228	248,359228
30,037800	-51,102161	250,077114
30,037900	-44,585732	251,315849
30,038000	-37,991397	252,062631
30,038100	-31,380298	252,313636
30,038200	-24,812872	252,073941
30,038300	-18,347486	251,357231
30,038400	-12,039154	250,185291
30,038500	-5,938352	248,587302
30,038600	-0,089975	246,598962
30,038700	5,467549	244,261458
30,038800	10,702957	241,620315
30,038900	15,592652	238,724157
30,039000	20,120990	235,623410
30,039100	24,280353	232,368988
30,039200	28,071006	229,010997
30,039300	31,500739	225,597485
30,039400	34,584323	222,173286
30,039500	37,342774	218,778971
30,039600	39,802469	215,449946
30,039700	41,994130	212,215723
30,039800	43,951704	209,099369
30,039900	45,711181	206,117156
30,040000	47,309373	203,278420
30,040100	48,782703	200,585629
30,040200	50,166025	198,034650
30,040300	51,491513	195,615218
30,040400	52,787663	193,311580
30,040500	54,078410	191,103300
30,040600	55,382412	188,966195
30,040700	56,712507	186,873385
30,040800	58,075357	184,796409
30,040900	59,471295	182,706387
30,041000	60,894373	180,575190
30,041100	62,332616	178,376580
30,041200	63,768466	176,087288
30,041300	65,179413	173,688002
30,041400	66,538779	171,164232
30,041500	67,816650	168,507019
30,041600	68,980918	165,713489
30,041700	69,998405	162,787203
30,041800	70,836038	159,738323
30,041900	71,462035	156,583566
30,042000	71,847082	153,345953
30,042100	71,965444	150,054367
30,042200	71,796003	146,742914
30,042300	71,323171	143,450118
30,042400	70,537663	140,217969
30,042500	69,437105	137,090838
30,042600	68,026447	134,114307
30,042700	66,318194	131,333931
30,042800	64,332407	128,793968
30,042900	62,096516	126,536123
30,043000	59,644904	124,598321
30,043100	57,018310	123,013563
30,043200	54,263038	121,808882
30,043300	51,429999	121,004435
30,043400	48,573620	120,612757
30,043500	45,750631	120,638195
30,043600	43,018770	121,076538
30,043700	40,435439	121,914860
30,043800	38,056344	123,131577
30,043900	35,934148	124,696718
30,044000	34,117187	126,572411
30,044100	32,648261	128,713557
30,044200	31,563544	131,068704
30,044300	30,891648	133,581065
30,044400	30,652835	136,189690
30,044500	30,858438	138,830731
30,044600	31,510468	141,438800
30,044700	32,601439	143,948363
30,044800	34,114407	146,295146
30,044900	36,023224	148,417524
30,045000	38,292996	150,257844
30,045100	40,880740	151,763674
30,045200	43,736212	152,888928
30,045300	46,802900	153,594850
30,045400	50,019145	153,850836
30,045500	53,319363	153,635081
30,045600	56,635348	152,935021
30,045700	59,897614	151,747588
30,045800	63,036748	150,079253
30,045900	65,984745	147,945873
30,046000	68,676290	145,372346
30,046100	71,049960	142,392080
30,046200	73,049331	139,046311
30,046300	74,623940	135,383266
30,046400	75,730119	131,457213
30,046500	76,331661	127,327417
30,046600	76,400313	123,057026
30,046700	75,916104	118,711923
30,046800	74,867489	114,359565
30,046900	73,251326	110,067842
30,047000	71,072692	105,903980
30,047100	68,344545	101,933504
30,047200	65,087257	98,219298
30,047300	61,328026	94,820768
30,047400	57,100205	91,793119
30,047500	52,442546	89,186768
30,047600	47,398412	87,046892
30,047700	42,014953	85,413103
30,047800	36,342289	84,319269
30,047900	30,432717	83,793456
30,048000	24,339951	83,857985
30,048100	18,118434	84,529598
30,048200	11,822711	85,819707
30,048300	5,506896	87,734716
30,048400	-0,775770	90,276395
30,048500	-6,973269	93,442281
30,048600	-13,035054	97,226094
30,048700	-18,912209	101,618142
30,048800	-24,557521	106,605704
30,048900	-29,925479	112,173371
30,049000	-34,972211	118,303329
30,049100	-39,655374	124,975582
30,049200	-43,934013	132,168101
30,049300	-47,768414	139,856900
30,049400	-51,119956	148,016033
30,049500	-53,950990	156,617526
30,049600	-56,224760	165,631240
30,049700	-57,905377	175,024683
30,049800	-58,957861	184,762785
30,049900	-59,348262	194,807640
30,050000	-59,043866	205,118256
30,050100	-58,013483	215,650303
30,050200	-56,227827	226,355899
30,050300	-53,659978	237,183455
30,050400	-50,285909	248,077573
30,050500	-46,085089	258,979047
30,050600	-41,041116	269,824956
30,050700	-35,142393	280,548873
30,050800	-28,382801	291,081199
30,050900	-20,762362	301,349620
30,051000	-12,287865	311,279698
30,051100	-2,973426	320,795578
30,051200	7,159036	329,820826
30,051300	18,079430	338,279359
