Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,580	93728,993	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,630	73282,965	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,680	41056,158	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,730	18179,679	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,780	4723,850	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,830	1406,613	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,880	1184,586	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,930	213,832	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,530	68110,049	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,480	13809,300	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,430	805,129	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,380	462,746	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
30,330	235,777	4,0	8,0	60,0	20,0	3000,0	60,0	1,0	0,0	37,0	53,0	10,3
