Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,728	317140,930	4,0	8,0	60,0	20,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	390203,568	4,0	8,0	84,0	44,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	394895,049	4,0	8,0	118,0	78,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	376820,898	4,0	8,0	165,0	125,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	352128,057	4,0	8,0	230,0	190,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	352978,675	4,0	8,0	323,0	283,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	331758,603	4,0	8,0	452,0	412,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	325974,340	4,0	8,0	632,0	592,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	296770,627	4,0	8,0	885,0	845,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	254190,828	4,0	8,0	1240,0	1200,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	219946,275	4,0	8,0	1736,0	1696,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	165274,825	4,0	8,0	2430,0	2390,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	110071,719	4,0	8,0	3402,0	3362,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	69987,051	4,0	8,0	4762,0	4722,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	35290,321	4,0	8,0	6667,0	6627,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	18516,643	4,0	8,0	9334,0	9294,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	19513,362	4,0	8,0	13068,0	13028,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	19507,563	4,0	8,0	18295,0	18255,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	22886,622	4,0	8,0	25613,0	25573,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
30,728	20167,144	4,0	8,0	35858,0	35818,0	1000,0	500,0	1,0	0,0	20,0	100,0	11,0
