Frequency	Real part	Imaginary part
30,250000	196,017198	4214,719804
30,250100	192,278884	4210,077323
30,250200	187,461081	4205,522328
30,250300	181,531947	4201,210393
30,250400	174,481168	4197,305736
30,250500	166,321647	4193,978214
30,250600	157,090762	4191,400016
30,250700	146,851144	4189,742116
30,250800	135,690922	4189,170564
30,250900	123,723414	4189,842691
30,251000	111,086249	4191,903322
30,251100	97,939903	4195,481073
30,251200	84,465671	4200,684835
30,251300	70,863095	4207,600524
30,251400	57,346887	4216,288187
30,251500	44,143393	4226,779540
30,251600	31,486672	4239,076014
30,251700	19,614258	4253,147367
30,251800	8,762695	4268,930907
30,251900	-0,837073	4286,331379
30,252000	-8,964340	4305,221518
30,252100	-15,413224	4325,443285
30,252200	-19,997072	4346,809786
30,252300	-22,552616	4369,107826
30,252400	-22,943748	4392,101084
30,252500	-21,064846	4415,533837
30,252600	-16,843563	4439,135171
30,252700	-10,242999	4462,623590
30,252800	-1,263210	4485,711950
30,252900	10,057999	4508,112591
30,253000	23,645027	4529,542584
30,253100	39,385185	4549,728965
30,253200	57,130152	4568,413854
30,253300	76,698170	4585,359347
30,253400	97,876928	4600,352066
30,253500	120,427083	4613,207277
30,253600	144,086358	4623,772478
30,253700	168,574129	4631,930372
30,253800	193,596399	4637,601175
30,253900	218,851077	4640,744180
30,254000	244,033430	4641,358562
30,254100	268,841612	4639,483392
30,254200	292,982133	4635,196862
30,254300	316,175175	4628,614734
30,254400	338,159626	4619,888044
30,254500	358,697731	4609,200113
30,254600	377,579262	4596,762930
30,254700	394,625124	4582,812975
30,254800	409,690315	4567,606584
30,254900	422,666186	4551,414956
30,255000	433,481952	4534,518895
30,255100	442,105438	4517,203421
30,255200	448,543036	4499,752349
30,255300	452,838885	4482,442956
30,255400	455,073307	4465,540859
30,255500	455,360532	4449,295189
30,255600	453,845767	4433,934186
30,255700	450,701689	4419,661279
30,255800	446,124436	4406,651754
30,255900	440,329196	4395,050049
30,256000	433,545489	4384,967737
30,256100	426,012256	4376,482234
30,256200	417,972851	4369,636233
