Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,650	67714,718	4,0	8,0	60,0	20,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	68173,781	4,0	8,0	78,0	38,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	67285,684	4,0	8,0	101,0	61,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	65641,942	4,0	8,0	132,0	92,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	65042,780	4,0	8,0	171,0	131,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	64356,197	4,0	8,0	223,0	183,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	62880,630	4,0	8,0	290,0	250,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	61171,743	4,0	8,0	376,0	336,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	59152,466	4,0	8,0	489,0	449,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	56288,262	4,0	8,0	636,0	596,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	52619,074	4,0	8,0	827,0	787,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	47765,610	4,0	8,0	1075,0	1035,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	41611,869	4,0	8,0	1398,0	1358,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	35005,376	4,0	8,0	1817,0	1777,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	27973,934	4,0	8,0	2362,0	2322,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	20942,503	4,0	8,0	3071,0	3031,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	13385,682	4,0	8,0	3992,0	3952,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	7732,139	4,0	8,0	5190,0	5150,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	3179,908	4,0	8,0	6747,0	6707,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	623,749	4,0	8,0	8772,0	8732,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	750,241	4,0	8,0	11403,0	11363,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	401,352	4,0	8,0	14824,0	14784,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	344,792	4,0	8,0	19271,0	19231,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
30,650	339,759	4,0	8,0	25052,0	25012,0	1000,0	50,0	1,0	0,0	36,0	55,0	10,3
