Frequency	Real part	Imaginary part
29,980000	109,283060	-135,076893
29,980100	105,364739	-135,199493
29,980200	101,504355	-135,192740
29,980300	97,701579	-135,057615
29,980400	93,956297	-134,794296
29,980500	90,268722	-134,402153
29,980600	86,639524	-133,879759
29,980700	83,069976	-133,224906
29,980800	79,562100	-132,434655
29,980900	76,118837	-131,505397
29,981000	72,744206	-130,432950
29,981100	69,443478	-129,212692
29,981200	66,223327	-127,839717
29,981300	63,091983	-126,309035
29,981400	60,059350	-124,615809
29,981500	57,137112	-122,755622
29,981600	54,338784	-120,724775
29,981700	51,679738	-118,520614
29,981800	49,177167	-116,141883
29,981900	46,849998	-113,589077
29,982000	44,718739	-110,864812
29,982100	42,805276	-107,974186
29,982200	41,132583	-104,925119
29,982300	39,724386	-101,728672
29,982400	38,604752	-98,399323
29,982500	37,797625	-94,955192
29,982600	37,326305	-91,418202
29,982700	37,212886	-87,814176
29,982800	37,477659	-84,172835
29,982900	38,138494	-80,527727
29,983000	39,210212	-76,916042
29,983100	40,703966	-73,378341
29,983200	42,626643	-69,958176
29,983300	44,980309	-66,701617
29,983400	47,761700	-63,656677
29,983500	50,961800	-60,872654
29,983600	54,565485	-58,399393
29,983700	58,551288	-56,286475
29,983800	62,891260	-54,582362
29,983900	67,550966	-53,333497
29,984000	72,489599	-52,583389
29,984100	77,660240	-52,371700
29,984200	83,010244	-52,733353
29,984300	88,481772	-53,697681
29,984400	94,012437	-55,287639
29,984500	99,536090	-57,519106
29,984600	104,983699	-60,400279
29,984700	110,284334	-63,931197
29,984800	115,366223	-68,103395
29,984900	120,157877	-72,899708
29,985000	124,589234	-78,294233
29,985100	128,592832	-84,252453
29,985200	132,104964	-90,731528
29,985300	135,066791	-97,680755
29,985400	137,425406	-105,042178
29,985500	139,134800	-112,751364
29,985600	140,156731	-120,738301
29,985700	140,461456	-128,928435
29,985800	140,028320	-137,243796
29,985900	138,846186	-145,604213
29,986000	136,913687	-153,928586
29,986100	134,239302	-162,136185
29,986200	130,841237	-170,147953
29,986300	126,747136	-177,887793
29,986400	121,993601	-185,283793
29,986500	116,625542	-192,269380
29,986600	110,695375	-198,784369
29,986700	104,262070	-204,775888
29,986800	97,390083	-210,199159
29,986900	90,148185	-215,018109
29,987000	82,608224	-219,205817
29,987100	74,843832	-222,744764
29,987200	66,929118	-225,626907
29,987300	58,937375	-227,853550
29,987400	50,939822	-229,435039
29,987500	43,004409	-230,390276
29,987600	35,194725	-230,746065
29,987700	27,569013	-230,536317
29,987800	20,179325	-229,801123
29,987900	13,070833	-228,585720
29,988000	6,281301	-226,939380
29,988100	-0,159255	-224,914246
29,988200	-6,228737	-222,564143
29,988300	-11,912943	-219,943392
29,988400	-17,205373	-217,105657
29,988500	-22,106862	-214,102851
29,988600	-26,625059	-210,984129
29,988700	-30,773757	-207,794982
29,988800	-34,572118	-204,576465
29,988900	-38,043778	-201,364567
29,989000	-41,215899	-198,189731
29,989100	-44,118163	-195,076551
29,989200	-46,781744	-192,043624
29,989300	-49,238298	-189,103576
29,989400	-51,518976	-186,263256
29,989500	-53,653505	-183,524072
29,989600	-55,669352	-180,882476
29,989700	-57,590984	-178,330571
29,989800	-59,439264	-175,856820
29,989900	-61,230971	-173,446835
29,990000	-62,978476	-171,084231
29,990100	-64,689566	-168,751497
29,990200	-66,367427	-166,430887
29,990300	-68,010773	-164,105280
29,990400	-69,614131	-161,759000
29,990500	-71,168248	-159,378560
29,990600	-72,660631	-156,953326
29,990700	-74,076179	-154,476058
29,990800	-75,397907	-151,943341
29,990900	-76,607718	-149,355867
29,991000	-77,687222	-146,718587
29,991100	-78,618554	-144,040706
29,991200	-79,385189	-141,335535
29,991300	-79,972706	-138,620211
29,991400	-80,369496	-135,915270
29,991500	-80,567387	-133,244119
29,991600	-80,562161	-130,632393
29,991700	-80,353955	-128,107236
29,991800	-79,947538	-125,696520
29,991900	-79,352434	-123,428023
29,992000	-78,582918	-121,328596
29,992100	-77,657858	-119,423339
29,992200	-76,600422	-117,734816
29,992300	-75,437649	-116,282319
29,992400	-74,199908	-115,081224
29,992500	-72,920242	-114,142433
29,992600	-71,633634	-113,471941
29,992700	-70,376204	-113,070523
29,992800	-69,184359	-112,933565
29,992900	-68,093928	-113,051034
29,993000	-67,139299	-113,407588
29,993100	-66,352584	-113,982838
29,993200	-65,762836	-114,751732
29,993300	-65,395340	-115,685070
29,993400	-65,270993	-116,750127
29,993500	-65,405800	-117,911370
29,993600	-65,810483	-119,131243
29,993700	-66,490237	-120,371008
29,993800	-67,444613	-121,591613
29,993900	-68,667552	-122,754566
29,994000	-70,147552	-123,822783
29,994100	-71,867979	-124,761404
29,994200	-73,807494	-125,538537
29,994300	-75,940601	-126,125921
29,994400	-78,238283	-126,499488
29,994500	-80,668727	-126,639810
29,994600	-83,198091	-126,532421
29,994700	-85,791325	-126,168000
29,994800	-88,412982	-125,542426
29,994900	-91,028040	-124,656693
29,995000	-93,602671	-123,516692
29,995100	-96,104964	-122,132873
29,995200	-98,505577	-120,519799
29,995300	-100,778284	-118,695601
29,995400	-102,900425	-116,681353
29,995500	-104,853238	-114,500397
29,995600	-106,622062	-112,177627
29,995700	-108,196412	-109,738757
29,995800	-109,569930	-107,209606
29,995900	-110,740207	-104,615405
29,996000	-111,708496	-101,980163
29,996100	-112,479310	-99,326101
29,996200	-113,059942	-96,673175
29,996300	-113,459910	-94,038704
29,996400	-113,690346	-91,437105
29,996500	-113,763357	-88,879757
29,996600	-113,691380	-86,374982
29,996700	-113,486547	-83,928149
29,996800	-113,160087	-81,541905
29,996900	-112,721792	-79,216504
29,997000	-112,179543	-76,950241
29,997100	-111,538948	-74,739970
29,997200	-110,803077	-72,581682
29,997300	-109,972311	-70,471132
29,997400	-109,044328	-68,404483
29,997500	-108,014203	-66,378955
29,997600	-106,874646	-64,393448
29,997700	-105,616354	-62,449119
29,997800	-104,228475	-60,549888
29,997900	-102,699178	-58,702862
29,998000	-101,016302	-56,918645
29,998100	-99,168066	-55,211534
29,998200	-97,143823	-53,599582
29,998300	-94,934841	-52,104519
29,998400	-92,535065	-50,751536
29,998500	-89,941857	-49,568920
29,998600	-87,156680	-48,587565
29,998700	-84,185699	-47,840343
29,998800	-81,040286	-47,361373
29,998900	-77,737405	-47,185189
29,999000	-74,299853	-47,345831
29,999100	-70,756361	-47,875889
29,999200	-67,141532	-48,805517
29,999300	-63,495612	-50,161442
29,999400	-59,864105	-51,966009
29,999500	-56,297224	-54,236269
29,999600	-52,849191	-56,983154
29,999700	-49,577402	-60,210754
29,999800	-46,541468	-63,915720
29,999900	-43,802163	-68,086811
30,000000	-41,420286	-72,704611
30,000100	-39,455481	-77,741411
30,000200	-37,965030	-83,161272
30,000300	-37,002656	-88,920287
30,000400	-36,617362	-94,967002
30,000500	-36,852329	-101,243038
30,000600	-37,743914	-107,683859
30,000700	-39,320760	-114,219699
30,000800	-41,603050	-120,776619
30,000900	-44,601918	-127,277670
30,001000	-48,319033	-133,644138
30,001100	-52,746376	-139,796844
30,001200	-57,866204	-145,657471
30,001300	-63,651212	-151,149877
30,001400	-70,064884	-156,201387
30,001500	-77,062032	-160,744007
30,001600	-84,589504	-164,715553
30,001700	-92,587050	-168,060663
30,001800	-100,988323	-170,731668
30,001900	-109,721987	-172,689303
30,002000	-118,712922	-173,903247
30,002100	-127,883475	-174,352483
30,002200	-137,154748	-174,025464
30,002300	-146,447881	-172,920090
30,002400	-155,685309	-171,043505
30,002500	-164,791959	-168,411707
30,002600	-173,696362	-165,049001
30,002700	-182,331660	-160,987297
30,002800	-190,636485	-156,265288
30,002900	-198,555695	-150,927511
30,003000	-206,040944	-145,023339
30,003100	-213,051102	-138,605911
30,003200	-219,552490	-131,731034
30,003300	-225,518952	-124,456094
30,003400	-230,931767	-116,838988
30,003500	-235,779395	-108,937103
30,003600	-240,057095	-100,806381
30,003700	-243,766399	-92,500468
30,003800	-246,914498	-84,069983
30,003900	-249,513529	-75,561908
30,004000	-251,579806	-67,019115
30,004100	-253,133009	-58,480029
30,004200	-254,195363	-49,978435
30,004300	-254,790824	-41,543428
30,004400	-254,944299	-33,199485
30,004500	-254,680913	-24,966664
30,004600	-254,025355	-16,860911
30,004700	-253,001305	-8,894455
30,004800	-251,630962	-1,076278
30,004900	-249,934676	6,587362
30,005000	-247,930693	14,092378
30,005100	-245,635015	21,436288
30,005200	-243,061367	28,617659
30,005300	-240,221266	35,635581
30,005400	-237,124189	42,489186
30,005500	-233,777815	49,177231
30,005600	-230,188344	55,697751
30,005700	-226,360853	62,047803
30,005800	-222,299690	68,223292
30,005900	-218,008887	74,218897
30,006000	-213,492553	80,028083
30,006100	-208,755256	85,643207
30,006200	-203,802356	91,055695
30,006300	-198,640292	96,256295
30,006400	-193,276792	101,235384
30,006500	-187,721009	105,983314
30,006600	-181,983579	110,490782
30,006700	-176,076583	114,749211
30,006800	-170,013432	118,751109
30,006900	-163,808658	122,490405
30,007000	-157,477644	125,962742
30,007100	-151,036278	129,165697
30,007200	-144,500557	132,098941
30,007300	-137,886159	134,764299
30,007400	-131,207996	137,165736
30,007500	-124,479758	139,309229
30,007600	-117,713484	141,202559
30,007700	-110,919170	142,855001
30,007800	-104,104430	144,276938
30,007900	-97,274231	145,479386
30,008000	-90,430714	146,473479
30,008100	-83,573120	147,269889
30,008200	-76,697820	147,878236
30,008300	-69,798463	148,306485
30,008400	-62,866240	148,560362
30,008500	-55,890264	148,642810
30,008600	-48,858053	148,553500
30,008700	-41,756122	148,288434
30,008800	-34,570652	147,839630
30,008900	-27,288227	147,194941
30,009000	-19,896624	146,337993
30,009100	-12,385624	145,248260
30,009200	-4,747823	143,901294
30,009300	3,020578	142,269087
30,009400	10,919040	140,320590
30,009500	18,942019	138,022358
30,009600	27,078409	135,339319
30,009700	35,311101	132,235656
30,009800	43,616686	128,675772
30,009900	51,965311	124,625315
30,010000	60,320709	120,052248
30,010100	68,640403	114,927924
30,010200	76,876088	109,228139
30,010300	84,974188	102,934139
30,010400	92,876586	96,033541
30,010500	100,521504	88,521152
30,010600	107,844528	80,399648
30,010700	114,779740	71,680098
30,010800	121,260955	62,382309
30,010900	127,223005	52,534981
30,011000	132,603061	42,175655
30,011100	137,341953	31,350456
30,011200	141,385448	20,113631
30,011300	144,685462	8,526874
30,011400	147,201168	-3,341518
30,011500	148,899967	-15,417684
30,011600	149,758298	-27,623368
30,011700	149,762271	-39,877227
30,011800	148,908080	-52,096221
30,011900	147,202215	-64,197064
30,012000	144,661433	-76,097705
30,012100	141,312510	-87,718786
30,012200	137,191757	-98,985054
30,012300	132,344332	-109,826687
30,012400	126,823346	-120,180496
30,012500	120,688789	-129,990975
30,012600	114,006309	-139,211166
30,012700	106,845867	-147,803333
30,012800	99,280310	-155,739398
30,012900	91,383888	-163,001153
30,013000	83,230772	-169,580236
30,013100	74,893586	-175,477860
30,013200	66,442029	-180,704320
30,013300	57,941578	-185,278282
30,013400	49,452355	-189,225873
30,013500	41,028151	-192,579606
30,013600	32,715651	-195,377165
30,013700	24,553880	-197,660085
30,013800	16,573882	-199,472371
30,013900	8,798640	-200,859087
30,014000	1,243233	-201,864961
30,014100	-6,084760	-202,533060
30,014200	-13,184638	-202,903545
30,014300	-20,061758	-203,012572
30,014400	-26,726520	-202,891365
30,014500	-33,193226	-202,565475
30,014600	-39,478809	-202,054271
30,014700	-45,601504	-201,370664
30,014800	-51,579484	-200,521080
30,014900	-57,429509	-199,505689
30,015000	-63,165644	-198,318869
30,015100	-68,798065	-196,949920
