Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,580	63163,934	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,630	51192,842	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,680	28671,561	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,730	12903,609	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,780	4111,484	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,830	1304,273	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,880	572,909	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,930	315,766	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,980	440,240	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,530	44746,065	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,480	9431,118	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,430	458,581	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,380	375,034	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,330	698,375	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
30,280	251,708	4,0	8,0	200,0	160,0	10000,0	40,0	1,0	0,0	37,0	53,0	11,0
