Frequency	value	D1	D2	D3	D4	D0	Ns	PhC	LPFilter	LS	RS	Tx	number
MHz     	a.u.	us	us	us	us	ms	scans	1 or 0	Hz	us	us	dB	  
													
													
30,730	183032,204	4,0	8,0	60,0	20,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	178687,690	4,0	8,0	78,0	38,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	175970,946	4,0	8,0	101,0	61,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	169837,515	4,0	8,0	132,0	92,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	163726,333	4,0	8,0	171,0	131,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	162866,874	4,0	8,0	223,0	183,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	161147,537	4,0	8,0	290,0	250,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	153390,267	4,0	8,0	376,0	336,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	148496,268	4,0	8,0	489,0	449,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	141033,477	4,0	8,0	636,0	596,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	131281,638	4,0	8,0	827,0	787,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	118618,191	4,0	8,0	1075,0	1035,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	102488,475	4,0	8,0	1398,0	1358,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	86026,686	4,0	8,0	1817,0	1777,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	71123,707	4,0	8,0	2362,0	2322,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	51272,119	4,0	8,0	3071,0	3031,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	32748,934	4,0	8,0	3992,0	3952,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	21315,395	4,0	8,0	5190,0	5150,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	11670,064	4,0	8,0	6747,0	6707,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	5796,722	4,0	8,0	8772,0	8732,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	4438,383	4,0	8,0	11403,0	11363,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	4782,658	4,0	8,0	14824,0	14784,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	5200,277	4,0	8,0	19271,0	19231,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
30,730	5231,948	4,0	8,0	25052,0	25012,0	1000,0	100,0	1,0	0,0	20,0	80,0	10,3
