Frequency	Real part	Imaginary part
30,426100	2077,008049	15678,809813
30,426200	2120,228216	15560,257710
30,426300	2154,148888	15441,501367
30,426400	2178,995487	15323,382120
30,426500	2195,075663	15206,691753
30,426600	2202,770600	15092,164448
30,426700	2202,525592	14980,470139
30,426800	2194,840096	14872,209341
30,426900	2180,257506	14767,909466
30,427000	2159,354850	14668,022616
30,427100	2132,732625	14572,924797
30,427200	2101,004968	14482,916500
30,427300	2064,790336	14398,224517
30,427400	2024,702847	14319,004902
30,427500	1981,344428	14245,346905
30,427600	1935,297855	14177,277742
30,427700	1887,120786	14114,768033
30,427800	1837,340814	14057,737718
30,427900	1786,451584	14006,062304
30,428000	1734,909951	13959,579257
30,428100	1683,134161	13918,094379
30,428200	1631,502995	13881,388033
30,428300	1580,355797	13849,221055
30,428400	1529,993308	13821,340267
30,428500	1480,679179	13797,483464
30,428600	1432,642054	13777,383815
30,428700	1386,078107	13760,773622
30,428800	1341,153879	13747,387389
30,428900	1298,009315	13736,964218
30,429000	1256,760851	13729,249516
30,429100	1217,504456	13723,996065
30,429200	1180,318505	13720,964495
30,429300	1145,266397	13719,923225
30,429400	1112,398839	13720,647956
30,429500	1081,755735	13722,920803
30,429600	1053,367630	13726,529153
30,429700	1027,256693	13731,264372
30,429800	1003,437218	13736,920429
30,429900	981,915674	13743,292560
30,430000	962,690308	13750,176059
30,430100	945,750365	13757,365266
30,430200	931,074970	13764,652851
30,430300	918,631744	13771,829425
30,430400	908,375226	13778,683552
30,430500	900,245199	13785,002177
30,430600	894,164993	13790,571497
30,430700	890,039851	13795,178258
30,430800	887,755461	13798,611487
30,430900	887,176722	13800,664605
30,431000	888,146816	13801,137892
30,431100	890,486663	13799,841239
30,431200	893,994805	13796,597122
30,431300	898,447763	13791,243728
30,431400	903,600895	13783,638141
30,431500	909,189767	13773,659508
30,431600	914,932045	13761,212104
30,431700	920,529880	13746,228204
30,431800	925,672771	13728,670678
30,431900	930,040845	13708,535244
30,432000	933,308534	13685,852303
30,432100	935,148540	13660,688296
30,432200	935,236059	13633,146544
30,432300	933,253160	13603,367525
30,432400	928,893242	13571,528583
30,432500	921,865487	13537,843029
30,432600	911,899227	13502,558675
30,432700	898,748131	13465,955789
30,432800	882,194145	13428,344510
30,432900	862,051106	13390,061769
30,433000	838,167966	13351,467756
30,433100	810,431572	13312,941993
30,433200	778,768949	13274,879087
30,433300	743,149057	13237,684224
30,433400	703,583997	13201,768481
30,433500	660,129642	13167,544036
30,433600	612,885705	13135,419338
30,433700	561,995245	13105,794327
30,433800	507,643626	13079,055763
30,433900	450,056961	13055,572727
30,434000	389,500079	13035,692358
30,434100	326,274042	13019,735878
30,434200	260,713276	13007,994936
30,434300	193,182357	13000,728327
30,434400	124,072503	12998,159090
30,434500	53,797830	13000,472025
30,434600	-17,208578	13007,811623
30,434700	-88,498738	13020,280420
30,434800	-159,613916	13037,937773
30,434900	-230,088824	13060,799048
30,435000	-299,455822	13088,835201
30,435100	-367,249080	13121,972743
30,435200	-433,008687	13160,094070
30,435300	-496,284671	13203,038131
30,435400	-556,640905	13250,601415
30,435500	-613,658905	13302,539242
30,435600	-666,941479	13358,567336
30,435700	-716,116244	13418,363663
30,435800	-760,838984	13481,570528
30,435900	-800,796858	13547,796904
30,436000	-835,711443	13616,621010
30,436100	-865,341612	13687,593109
30,436200	-889,486228	13760,238550
30,436300	-907,986664	13834,061026
30,436400	-920,729107	13908,546075
30,436500	-927,646654	13983,164813
30,436600	-928,721162	14057,377898
30,436700	-923,984832	14130,639741
30,436800	-913,521496	14202,402930
30,436900	-897,467571	14272,122902
30,437000	-876,012648	14339,262805
30,437100	-849,399666	14403,298568
30,437200	-817,924639	14463,724131
30,437300	-781,935899	14520,056809
30,437400	-741,832799	14571,842748
30,437500	-698,063853	14618,662427
30,437600	-651,124273	14660,136131
30,437700	-601,552888	14695,929355
30,437800	-549,928406	14725,758037
30,437900	-496,865029	14749,393560
30,438000	-443,007410	14766,667425
30,438100	-389,024968	14777,475513
30,438200	-335,605594	14781,781839
30,438300	-283,448768	14779,621710
30,438400	-233,258164	14771,104190
30,438500	-185,733792	14756,413798
30,438600	-141,563773	14735,811349
30,438700	-101,415826	14709,633870
30,438800	-65,928590	14678,293537
30,438900	-35,702896	14642,275575
30,439000	-11,293103	14602,135106
30,439100	6,801339	14558,492906
30,439200	18,143989	14512,030109
30,439300	22,369005	14463,481841
30,439400	19,188108	14413,629859
30,439500	8,396756	14363,294243
30,439600	-10,120588	14313,324227
30,439700	-36,386229	14264,588274
30,439800	-70,326167	14217,963516
30,439900	-111,768267	14174,324701
30,440000	-160,441765	14134,532793
30,440100	-215,978156	14099,423408
30,440200	-277,913520	14069,795247
30,440300	-345,692278	14046,398723
30,440400	-418,672390	14029,924967
30,440500	-496,131940	14020,995402
30,440600	-577,277058	14020,152073
30,440700	-661,251081	14027,848906
30,440800	-747,144845	14044,444081
30,440900	-834,007967	14070,193646
30,441000	-920,860963	14105,246539
30,441100	-1006,708015	14149,641108
30,441200	-1090,550194	14203,303237
30,441300	-1171,398935	14266,046133
30,441400	-1248,289537	14337,571819
30,441500	-1320,294473	14417,474332
30,441600	-1386,536268	14505,244608
30,441700	-1446,199746	14600,277001
30,441800	-1498,543399	14701,877342
30,441900	-1542,909700	14809,272430
30,442000	-1578,734154	14921,620810
30,442100	-1605,552925	15038,024669
30,442200	-1623,008886	15157,542650
30,442300	-1630,855979	15279,203386
30,442400	-1628,961790	15402,019502
30,442500	-1617,308277	15525,001872
30,442600	-1595,990641	15647,173849
30,442700	-1565,214325	15767,585239
30,442800	-1525,290208	15885,325766
30,442900	-1476,628062	15999,537766
30,443000	-1419,728387	16109,427901
30,443100	-1355,172762	16214,277658
30,443200	-1283,612908	16313,452450
30,443300	-1205,758635	16406,409144
30,443400	-1122,364918	16492,701869
30,443500	-1034,218340	16571,986011
30,443600	-942,123159	16644,020298
30,443700	-846,887259	16708,666956
30,443800	-749,308277	16765,889928
30,443900	-650,160144	16815,751186
30,444000	-550,180341	16858,405229
30,444100	-450,058084	16894,091862
30,444200	-350,423707	16923,127420
30,444300	-251,839425	16945,894603
30,444400	-154,791687	16962,831144
30,444500	-59,685251	16974,417533
30,444600	33,160878	16981,164069
30,444700	123,515579	16983,597494
30,444800	211,235770	16982,247506
30,444900	296,264572	16977,633430
30,445000	378,627545	16970,251334
30,445100	458,427047	16960,561871
30,445200	535,834863	16948,979116
30,445300	611,083240	16935,860631
30,445400	684,454537	16921,499005
30,445500	756,269702	16906,115036
30,445600	826,875840	16889,852738
30,445700	896,633129	16872,776286
30,445800	965,901391	16854,868979
30,445900	1035,026607	16836,034271
30,446000	1104,327690	16816,098854
30,446100	1174,083814	16794,817763
30,446200	1244,522593	16771,881382
30,446300	1315,809400	16746,924247
30,446400	1388,038079	16719,535451
30,446500	1461,223273	16689,270432
30,446600	1535,294597	16655,663925
30,446700	1610,092790	16618,243770
30,446800	1685,367987	16576,545298
30,446900	1760,780182	16530,125976
30,447000	1835,901922	16478,579977
30,447100	1910,223208	16421,552360
30,447200	1983,158547	16358,752512
30,447300	2054,056040	16289,966561
30,447400	2122,208344	16215,068440
30,447500	2186,865322	16134,029337
30,447600	2247,248120	16046,925279
30,447700	2302,564413	15953,942656
30,447800	2352,024510	15855,381493
30,447900	2394,857974	15751,656367
30,448000	2430,330437	15643,294886
30,448100	2457,760224	15530,933701
30,448200	2476,534457	15415,312096
30,448300	2486,124252	15297,263210
30,448400	2486,098696	15177,703052
30,448500	2476,137270	15057,617471
30,448600	2456,040414	14938,047313
30,448700	2425,737997	14820,072040
30,448800	2385,295453	14704,792115
30,448900	2334,917414	14593,310488
30,449000	2274,948714	14486,713551
30,449100	2205,872698	14386,051940
30,449200	2128,306809	14292,321572
30,449300	2042,995496	14206,445309
30,449400	1950,800550	14129,255628
30,449500	1852,689000	14061,478672
30,449600	1749,718789	14003,720018
30,449700	1643,022477	13956,452485
30,449800	1533,789268	13920,006248
