T(K)          Max_Value       Max_Freq        Mean    Variance     Std_Dev
--------------------------------------------------------------------------
300.0    3424425.013636      30.727900   30.727920    0.000039    0.006224
7.0        78743.387036      30.589900   30.607614    0.004127    0.064242
9.0       100690.408857      30.600400   30.606475    0.004247    0.065169
12.0      142931.984540      30.580000   30.605051    0.003709    0.060905
15.0      238278.648263      30.581300   30.609952    0.003478    0.058973
17.0      449068.387465      30.604800   30.620543    0.003096    0.055643
19.0      435601.777976      30.622100   30.639667    0.002549    0.050491
20.0      129400.602609      30.646200   30.653570    0.001461    0.038225
20.0      416566.186563      30.650500   30.658530    0.001760    0.041952
22.0      239886.444374      30.681500   30.681813    0.001022    0.031971
22.0      697776.994282      30.682200   30.684016    0.000930    0.030490
23.0      462963.288290      30.697800   30.699008    0.000539    0.023211
25.0      512535.191900      30.707200   30.710109    0.000238    0.015432
28.0      662584.499432      30.713500   30.716397    0.000221    0.014852
33.0      806994.310484      30.719000   30.720693    0.000198    0.014075
40.0      710488.946517      30.721400   30.723243    0.000184    0.013577
50.0      611525.820139      30.723300   30.724316    0.000155    0.012468
62.0     1036144.883595      30.724400   30.725008    0.000159    0.012626
70.0      515571.578974      30.724500   30.724994    0.000132    0.011509
80.0      877409.003801      30.728000   30.728895    0.000130    0.011393
81.0      465799.689539      30.725500   30.725429    0.000143    0.011945
100.0     730445.003772      30.726400   30.726386    0.000145    0.012041
120.0     681213.815982      30.726600   30.726648    0.000126    0.011216
150.0     796978.705325      30.727700   30.727197    0.000114    0.010693
197.0    4671985.172251      30.728600   30.728479    0.000069    0.008288
